Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Switzerland;1.64;1.54;1.7;1.79;1.79;1.88;1.59;1.38;1.28;1.22;1.66;1.62;1.42;1.19;0.8;1.07
Syria;87.19;87.23;91.25;90.66;86.98;87.62;89.42;91;93.01;95.69;94.42;92.16;90.77;87.97;88.89;97.69
Tajikistan;1.56;1.22;0.9;1.05;0.92;0.72;1.38;2.17;2.15;1.35;0.21;0.23;0.44;0.26;0.97;1.53
Tanzania;13.63;5.21;3.75;4.14;39.75;49.99;58.32;39.63;39.58;44.21;48.31;60.2;67.81;70.49;57.71;65.85
Thailand;93.19;93.36;92.52;92.78;94.18;94.46;93.08;93.09;93.4;93.1;94.39;91.95;91.61;91.72;91.49;91.46
Timor-Leste;;;;;;;;;;;;;;;;
Togo;42.86;59.35;42.76;29.55;55.38;59.79;57.47;47.96;24.39;25;45.81;13.28;15.32;18.28;13.79;24.69
Tonga;;;;;;;;;;;;;;;;
Trinidad;99.63;99.49;99.54;99.81;99.64;99.69;99.37;99.75;99.74;99.76;100;100;100;100;100;100
Tunisia;99.18;99.32;99.21;98.24;98.34;98.52;99;99.33;99.52;98.85;95.94;97.85;97.1;96.32;95.69;96.08
Turkey;75.02;80.12;73.72;74.68;69.25;75.4;74.69;80.91;82.61;80.38;73.56;74.62;72.72;71.05;78.97;67.85
Turkmenistan;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Turks and Caicos Islands;;;;;;;;;;;;;;;;
Uganda;;;;;;;;;;;;;;;;
UK;74.48;73.28;73.52;74.17;75.39;74.43;75.61;78.46;80.22;74.23;76.38;71.07;68.47;64.59;60.97;53.18
Ukraine;48.26;48.95;49.51;49.68;45.72;45.59;46.62;47.44;47.21;45.26;45.7;47.96;48.9;49.24;45.84;41.27
United Arab Emirates;100;100;100;100;100;100;100;100;100;100;100;100;100;99.91;99.74;99.77
Uruguay;6.62;0.21;0.32;0.13;18.42;12.5;35.13;12.94;39.09;31.26;12.38;27.96;38.26;19.15;9.27;11.44
USA;71.59;72.2;70.99;71.29;71.39;72.1;71.33;71.97;71.39;69.45;70.28;68.42;68.86;67.82;67.46;67.08
Uzbekistan;87.46;87.45;87.45;84.57;81.98;82.46;82.01;86.93;77;81.32;79.02;80.46;78.65;78.67;78.65;79.35
Vanuatu;;;;;;;;;;;;;;;;
Venezuela;26.25;32.93;35.18;34.16;28.9;26.72;26.1;27.28;27.21;28.11;32.51;29.07;32.59;32.17;31.74;36.3
Vietnam;45.22;40.51;49.16;53.61;61.44;68.33;66.16;65.51;64.52;63.87;70.86;60.54;54.98;58.34;57.02;63.27
Virgin Islands, US;;;;;;;;;;;;;;;;
Yemen;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Zambia;0.62;0.63;0.63;0.63;0.56;0.59;0.13;0.12;0.13;0.12;0.12;0.13;0.15;0.14;2.84;3.01
Zimbabwe;54.34;62.5;55.64;39.27;43.4;47.57;32.12;28.43;24.1;24.36;31.99;42.14;39.61;46.06;44.39;47.28
