Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Malta;;;0.09;0.1;0.12;0.18;0.21;0.27;0.25;0.26;1.39;2.03;2.6;2.58;3.93;5.36
Marshall Islands;19.57;19.08;18.63;18.56;18.4;18.38;16.96;15.21;14.78;13.96;13.31;12.06;12.01;12.07;12.02;11.16
Mauritania;44.41;44.18;42.13;40.17;38.59;38.77;39.12;35.63;35.8;33.43;34;33.28;31.84;34.2;32.02;32.16
Mauritius;20.42;20.08;17.93;18.9;19.08;17.74;16.49;15.77;12.82;12.87;13.66;12.14;11.61;11.44;10.63;11.54
Mexico;12.17;11.34;10.68;10.17;10.21;10.31;9.82;9.46;9.77;9.17;9.36;9.07;8.96;9.23;9.76;9.22
Micronesia;1.19;0.8;1.02;1.02;1.04;1.1;1.25;1.21;1.35;1.15;1.5;1.43;1.32;1.25;1.16;1.2
Moldova;5.72;5.6;5.83;5.92;4.85;4.31;4.98;4.47;4.94;4.86;8.44;9.89;10.47;13.08;13.05;14.27
Monaco;;;;;;;;;;;;;;;;
Mongolia;5.71;6.07;6.5;6.08;5.74;5.32;4.46;4.68;4.63;4.36;4.35;3.9;2.85;2.92;3.27;3.43
Montenegro;;;;;;47.61;44.83;42.27;38.76;49.16;49.09;42.83;45.91;49.38;45.99;43
Morocco;15.26;15.12;14.94;15.7;23.51;20.66;18.65;16.97;15.12;14.76;14.41;12.35;11.4;12.05;11.72;11.32
Mozambique;93.61;93.95;93.73;92.75;92.92;93.62;93.29;92.14;92.43;91.67;91.3;90.46;90.82;90.32;88.86;86.4
Myanmar;80.16;82.47;83;79.79;80.27;79.55;81.12;80.32;85.57;85.63;84.4;83.86;77.91;74.11;66.13;61.53
Namibia;33.51;29.3;33.01;32.56;32.11;32.06;32.86;32.77;27.03;27.08;26.37;27.94;28.56;28.27;27.62;26.47
Nauru;;;;;;;0.07;0.08;0.08;0.08;0.08;0.09;0.09;0.08;0.08;0.08
