Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Singapore;7575.44;7516.17;7756.32;8113.59;8314.33;8678.17;8720.02;8706.58;8401.05;8114.37;8679.99;8651.76;8673.99;8680.61;8844.69;
Slovakia;4955.91;5027.45;5051.6;5021.8;5097.84;4932.8;5153.12;5272.37;5294.44;4954.14;5201.4;5347.53;5137.79;5202.47;5137.07;
Slovenia;5778;6006.35;6380.95;6578.03;6830.71;6917.86;7123.54;7137.82;6920.24;6104.42;6510.84;6753.07;6718.98;6779.28;6728;
Solomon Islands;;;;;;;;;;;;;;;;
Somalia;;;;;;;;;;;;;;;;
South Africa;4503.77;4226.65;4444.52;4470.82;4498.98;4547.65;4638.22;4777.06;4606.63;4385.25;4510.22;4543.63;4352.39;4279.25;4198.4;
South Korea;5906.96;6309.2;6673.94;6977.32;7390.79;7796.31;8039.8;8462.21;8772.29;8877.57;9716.13;10129.96;10305.33;10384.62;10496.51;
South Sudan;;;;;;;;;;;;;38.73;39.81;39.89;
Spain;5167.81;5422.52;5576.55;5676.14;5892.31;6111.22;6105.08;6054.37;6025.77;5652.6;5706.56;5599.38;5573.4;5409.41;5355.99;
Sri Lanka;294.75;290.8;303.16;326.41;354.63;400.52;403.61;420.98;427.21;426.15;461.13;504.21;524.31;525.72;531.27;
Sudan;62.41;52.22;60.95;64.23;64.53;75.88;84.26;90.55;98.42;112.82;131.06;141.65;156.94;158.66;190.22;
Suriname;2258.73;2352.74;2540.14;2475.77;2593.04;2767.83;2768.16;2776.12;3043.79;3040.61;2997.51;3339.05;3340.3;3662.4;3631.86;
Swaziland;;;;;;;;;;;;;;;;
Sweden;15681.62;16020.98;15709.43;15360.18;15420.97;15430.96;15262.59;15257.94;14869.35;14143.01;14934.33;14030.16;14289.6;13870.39;13480.15;
Switzerland;7845.63;7992.28;8031.43;8195.12;8205.83;8305.37;8360.58;8163.3;8305.92;8021.22;8174.41;7928.19;7886.09;7807.06;7520.17;
Syria;1064.91;1144.16;1233.33;1294.21;1399.2;1503.34;1549.62;1559.58;1584.96;1543.01;1853.43;1690.23;1365.13;1056.43;949.59;
Tajikistan;2161.61;2140.31;2133.63;2127.15;2143.95;2129.21;2113.97;2047.15;1920.45;1883.49;1864.92;1783.79;1734.57;1668.3;1479.78;
Tanzania;57.93;61.59;66.83;66.65;77.99;77.67;63.62;79.36;83.52;69.85;92.95;83.85;93.76;95.98;99.17;
Thailand;1447.95;1504.66;1617.46;1713.49;1827.04;1914.53;2004.9;2079.82;2104.97;2100.67;2307.33;2283.35;2443.33;2514.81;2539.61;
Timor-Leste;;;;;;;;;;;;;;;;
Togo;94.36;98.01;95.21;101.83;106.06;108.04;107.06;101.04;103.54;122.58;122.56;133.1;142.58;142.55;152.72;
Tonga;;;;;;;;;;;;;;;;
Trinidad;3990.59;4099.4;4081.9;4770.06;4697.28;5142.13;5307.16;5668.85;5707.13;5714.21;6189.29;6389.78;6628.71;6876.33;7134.03;
Tunisia;977.4;1036.21;1066.87;994.1;1035.08;1083.99;1108.16;1151.77;1189.74;1274.59;1364.39;1320.64;1403.74;1417.94;1444.11;
Turkey;1652.75;1613.02;1667.42;1771.92;1891.93;2013.89;2178.86;2347.12;2421.98;2314.11;2491.63;2696.31;2772.06;2760.65;2854.57;
Turkmenistan;1692.16;1782.83;1776.35;1746.23;1913.72;2051.68;2115.55;2254.35;2316.56;2353.46;2382.05;2412.03;2428.89;2540.87;2678.81;
Turks and Caicos Islands;;;;;;;;;;;;;;;;
Uganda;;;;;;;;;;;;;;;;
UK;6114.53;6141.98;6142.75;6174.55;6138.75;6270.98;6200.55;6102.4;6015.73;5643.13;5700.86;5471.92;5449.25;5409.63;5129.53;
Ukraine;2778.44;2790.53;2844.81;2997.97;3151.15;3246.04;3399.52;3528.92;3534.36;3227.96;3549.85;3662.44;3640.56;3600.23;3418.59;
United Arab Emirates;12232.62;12048.59;12401.23;12266.93;11902.35;12303.14;11823.09;11688.32;11613.98;10966.43;10968.26;10612.43;10698.22;10952.71;11263.53;
Uruguay;2030.26;2000.24;1997.73;1884.45;1928.95;1999.63;2220.93;2413.36;2586.23;2659.72;2803.15;2808.34;2931.01;2985.03;3067.95;
USA;13671.05;13046.61;13296.18;13307.49;13388.59;13704.58;13583.27;13657.45;13663.43;12913.71;13394.41;13243.3;12959.41;12996.85;12984.33;
Uzbekistan;1780.46;1769.4;1775.81;1764.46;1765.48;1717.2;1755.76;1664.06;1652.65;1643.15;1653.47;1631.53;1610.81;1637.19;1645.44;
Vanuatu;;;;;;;;;;;;;;;;
Venezuela;2635.38;2699.32;2725.09;2632.08;2761.59;2848.59;2956.48;2970.72;3069.08;3030.82;3130.94;3193.02;3245.57;3240.6;2657.62;
Vietnam;285.28;324.93;375.61;430.86;481.27;566.74;641.59;724.1;798.26;901.26;1016.6;1095.84;1197.64;1266.46;1410.91;
Virgin Islands, US;;;;;;;;;;;;;;;;
Yemen;139.02;143.61;151.38;161.6;169.26;179.42;189.55;206.65;225.35;222.46;249.97;190.25;190.41;246.75;216.26;
Zambia;591;611.13;635.5;653.83;674.58;681.45;692.62;652.52;579.02;558.25;580.14;621.04;721.5;735.88;707.19;
Zimbabwe;872.83;840.84;839.96;834.26;805.01;832.38;807.59;698.95;573.29;531.04;546.84;570.25;542.73;557.57;537;
