Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Russia;10.63;10.67;10.72;11.09;11.12;11.25;11.67;11.67;12.01;11.02;11.69;12.33;12.78;12.39;11.86;
Rwanda;0.07;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.07;0.07;0.07;
Saint Kitts;3.8;3.83;4.25;4.19;4.43;4.07;4.1;4.35;4.3;4.4;4.28;4.44;4.18;4.21;4.3;
Saint Lucia;2.1;2.29;2.04;2.23;2.19;2.24;2.22;2.3;2.34;2.25;2.34;2.34;2.33;2.32;2.31;
Saint Martin;;;;;;;;;;;;;;;;
Saint Vincent;1.36;1.66;1.73;1.83;2.03;2.02;2.02;2.08;2.08;2.85;2.01;1.81;2.31;1.91;1.91;
Samoa;0.82;0.84;0.83;0.87;0.84;0.9;0.91;0.95;0.98;1.01;1;1.07;1.05;1.04;1.03;
San Marino;;;;;;;;;;;;;;;;
Sao Tome and Principe;0.34;0.36;0.4;0.44;0.48;0.49;0.53;0.52;0.51;0.54;0.57;0.57;0.62;0.61;0.59;
Saudi Arabia;14.3;13.95;14.9;14.51;17.04;16.63;17.61;15.36;16.58;17.59;18.91;17.7;19.42;18.07;19.53;
Senegal;0.4;0.43;0.43;0.47;0.48;0.52;0.41;0.44;0.42;0.37;0.6;0.63;0.58;0.6;0.61;
Serbia;;;;;;;7.29;7.11;7.09;6.31;6.3;6.8;6.12;6.27;5.28;
Seychelles;7.05;7.81;6.44;6.64;8.94;8.32;8.67;7.55;7.97;6.01;4.94;3.9;4.98;4.48;5.42;
Sierra Leone;0.09;0.12;0.12;0.13;0.12;0.1;0.13;0.11;0.11;0.1;0.11;0.14;0.15;0.17;0.18;
Singapore;12.17;11.97;11.31;7.57;6.83;7.12;7;4.34;7.47;11.21;10.96;8.72;6.85;10.31;10.31;
Slovakia;6.66;7.32;7.3;7.35;7.21;7.33;7.28;6.84;7.01;6.32;6.72;6.4;6.06;6.11;5.66;
Slovenia;7.24;7.61;7.73;7.77;7.88;7.93;8.09;8.05;8.59;7.49;7.49;7.35;7.19;6.87;6.21;
Solomon Islands;0.36;0.37;0.36;0.36;0.35;0.34;0.34;0.36;0.37;0.38;0.38;0.37;0.36;0.36;0.35;
Somalia;0.05;0.05;0.06;0.06;0.06;0.06;0.06;0.06;0.05;0.05;0.05;0.05;0.05;0.05;0.05;
South Africa;8.28;8.02;7.58;8.49;9.33;8.54;9.07;9.35;9.85;9.87;9.19;9;8.85;8.67;8.98;
South Korea;9.52;9.5;9.77;9.73;10.03;9.61;9.72;10.18;10.35;10.32;11.44;11.8;11.63;11.75;11.57;
South Sudan;;;;;;;;;;;;;0.12;0.13;0.13;
Spain;7.26;7.29;7.59;7.61;7.91;8.1;7.88;7.92;7.17;6.22;5.82;5.79;5.66;5.08;5.03;
Sri Lanka;0.55;0.55;0.58;0.58;0.63;0.62;0.61;0.62;0.61;0.66;0.66;0.75;0.78;0.75;0.89;
Sudan;0.16;0.18;0.22;0.24;0.29;0.27;0.29;0.33;0.34;0.35;0.35;0.33;0.3;0.31;0.3;
Suriname;4.65;4.96;3.24;3.16;3.16;3.2;3.46;3.46;3.77;3.85;4.57;3.7;4.21;3.53;3.63;
Swaziland;1.12;1.07;1.04;0.96;0.94;0.92;0.91;0.93;0.95;0.89;0.86;0.86;0.97;0.86;0.93;
Sweden;5.56;5.75;6.43;6.12;6.06;5.71;5.46;5.25;5.33;4.63;5.55;5.47;4.94;4.67;4.48;
Switzerland;5.44;5.94;5.59;5.47;5.46;5.56;5.59;5.03;5.28;5.38;4.98;4.67;4.72;4.97;4.31;
Syria;3.11;2.91;2.29;3.12;2.87;2.77;2.83;3.39;3.33;2.99;2.93;2.73;2.19;1.84;1.6;
Tajikistan;0.36;0.36;0.29;0.32;0.38;0.36;0.38;0.45;0.4;0.33;0.33;0.3;0.37;0.43;0.62;
Tanzania;0.08;0.09;0.1;0.1;0.11;0.14;0.15;0.14;0.14;0.13;0.15;0.17;0.19;0.22;0.22;
Thailand;2.88;3.06;3.25;3.48;3.74;3.78;3.83;3.81;3.79;4;4.19;4.12;4.37;4.4;4.62;
Timor-Leste;;;0.17;0.17;0.18;0.17;0.17;0.17;0.19;0.21;0.21;0.22;0.25;0.37;0.39;
Togo;0.27;0.23;0.23;0.27;0.25;0.24;0.21;0.23;0.27;0.44;0.41;0.37;0.36;0.38;0.36;
Tonga;0.97;0.89;1.04;1.18;1.1;1.13;1.26;1.11;1.17;1.27;1.13;0.98;1.01;1.08;1.14;
Trinidad;18.8;20.71;22.4;24.91;25.91;29.42;32.75;34.73;33.74;33.97;36.09;35.16;33.86;34.52;34.16;
Tunisia;2.05;2.13;2.11;2.14;2.23;2.24;2.25;2.34;2.39;2.36;2.6;2.42;2.48;2.51;2.59;
Turkey;3.42;3.03;3.16;3.31;3.36;3.5;3.8;4.09;4.03;3.89;4.12;4.37;4.42;4.29;4.49;
Turkmenistan;8.31;8.34;8.67;9.58;9.9;10.17;10.29;11.51;11.51;10.05;11.26;12.07;12.31;12.44;12.52;
Turks and Caicos Islands;3.69;3.63;4.55;4.39;4.1;4.58;5.17;5.76;6.09;5.94;6.15;6.01;6.11;5.98;6.09;
Uganda;0.06;0.06;0.06;0.06;0.06;0.08;0.09;0.09;0.1;0.1;0.12;0.12;0.11;0.13;0.13;
UK;9.2;9.23;8.9;9.05;8.99;8.98;8.9;8.62;8.42;7.57;7.86;7.08;7.36;7.15;6.5;
Ukraine;6.53;6.61;6.61;7.37;7.24;7.09;6.98;6.91;6.72;5.65;6.64;6.27;6.49;5.98;5.02;
United Arab Emirates;35.68;30.49;24.15;28.55;27.7;25.36;23.63;22.44;22.82;21.91;19.44;19.08;19.82;18.95;23.3;
Uruguay;1.6;1.53;1.39;1.38;1.69;1.74;2;1.8;2.47;2.4;1.89;2.29;2.56;2.23;1.97;
USA;20.18;19.64;19.61;19.56;19.66;19.59;19.09;19.22;18.46;17.16;17.44;16.97;16.3;16.31;16.49;
Uzbekistan;4.94;4.95;5.08;4.97;4.88;4.48;4.54;4.47;4.54;3.86;3.65;3.87;3.89;3.42;3.42;
Vanuatu;0.46;0.46;0.43;0.42;0.29;0.28;0.22;0.45;0.42;0.52;0.51;0.55;0.46;0.42;0.59;
Venezuela;6.22;6.92;7.61;7.43;5.76;6.16;6.22;5.81;6.36;6.29;6.51;6;6.65;6.07;6.03;
Vietnam;0.67;0.75;0.86;0.95;1.08;1.16;1.21;1.22;1.36;1.47;1.61;1.7;1.57;1.61;1.8;
Virgin Islands, US;;;;;;;;;;;;;;;;
Yemen;0.82;0.88;0.83;0.89;0.94;0.97;1.01;0.96;1;1.07;0.99;0.81;0.75;1;0.86;
Zambia;0.17;0.18;0.18;0.18;0.18;0.19;0.19;0.15;0.17;0.19;0.19;0.21;0.25;0.26;0.29;
Zimbabwe;1.14;1.02;0.96;0.84;0.74;0.83;0.8;0.74;0.57;0.41;0.55;0.66;0.53;0.78;0.78;
