Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Philippines;150078.87;142869.33;138051.04;140443.04;142978.77;146433.72;201211.26;149106.27;152332.05;223801.4;159940.45;163797.79;167297.55;;;
Poland;392642.04;385653.89;375643.18;387619.14;411840.44;411811.67;423290.67;421174.65;420981.53;405421.16;426485.87;422791.47;414606.89;;;
Portugal;88594.19;85398.97;88319.25;89900.2;84930.56;101594.26;81336.95;79399.3;74433.77;75492.5;71681.47;71977.89;72524.22;;;
Puerto Rico;2963.27;3010.8;3031.48;3095.29;3098.94;3118.67;3105.72;3064.31;3067.97;3119.07;3199.25;3247.52;3293.25;;;
Qatar;44439.7;45516.27;46983.92;51782.17;58827.54;61388.82;68073.79;77135.76;83149.37;86227.81;98391.53;100891.32;103155.12;;;
Republic of Congo;28435.4;35332.08;24853.87;34876.59;34296.33;38914.47;37981.72;34160.31;31049.21;34611.28;35247.16;35504.46;35743.92;;;
Romania;132627.54;137737.59;135160.39;141128.16;139881.57;139578.17;144382.55;141043.06;136834.94;119648.21;117930.7;126194.42;121762.23;;;
Russia;2771222;2649244.38;2984844.66;3542027.45;2413520.92;2527172.17;2748951.04;2604102.33;2995286.6;2562920.98;2603289.63;2777724.31;2803398.49;;;
Rwanda;4900.33;3924.02;4806.29;4793.81;5635.4;4963.96;5021.66;4904.62;5183.74;5967.06;6547.47;6620.25;6689.95;;;
Saint Kitts;;;;;;;;;;;;;;;;
Saint Lucia;404.94;408.26;412.31;427.33;470.33;473.07;493.09;512.25;533.67;534.36;563.92;582.34;598.77;;;
Saint Martin;;;;;;;;;;;;;;;;
Saint Vincent;222.54;223.72;234.31;240.08;259.91;261;267.91;276.97;284.79;;301.56;310.88;319.22;;;
Samoa;318.53;324.44;314.98;314.08;312.54;307.21;326.16;326.94;330.24;330.71;340.98;348.88;356.09;;;
San Marino;;;;;;;;;;;;;;;;
Sao Tome and Principe;206.9;187.96;190.5;210.28;170.01;177.25;155.28;169.71;175.96;177.02;185.45;190.74;195.49;;;
Saudi Arabia;310713.5;321603.52;336300.49;355029.43;;;;419853;446765.12;471266.33;;514967.26;;;;
Senegal;48632.88;58818.34;55038.56;34578.8;49186.65;50288.84;58446.31;47429.89;51876.51;47324.76;53407.57;53810.05;54185.37;;;
Serbia;;;;;;;;;;;;;;;;
Seychelles;;;680.72;697.09;;;;786.52;806.42;805.94;854.07;883.83;910.29;;;
Sierra Leone;14763.85;32393.59;22463.63;20892.19;21206.33;14869.18;26983.21;28565.22;33083.7;17509.1;11647.49;11731.17;11810.89;;;
Singapore;;49851.52;;43165.65;44836.63;47597.81;48418.8;49828.82;50059.95;49828.22;52732;54413.55;55910.28;;;
Slovakia;50421.4;50059.68;49587.28;49336.11;48357.39;48958.79;48387.52;48141.6;49160.99;46722.86;49973.28;48551.75;46301.27;;;
Slovenia;20927.09;21694.41;22342.26;21936.49;22064.48;22366.88;22781.65;22932.54;23252.26;21453.16;21893.66;21513.48;21074.75;;;
Solomon Islands;4086.06;4147.14;4329.77;4401.76;4422.74;4323.8;4336.37;4406.11;4411.73;4419.52;4479.83;4536.58;4591.46;;;
Somalia;20491.62;20649.51;20911;21516.58;21192.85;21219.93;21176.81;21272.6;21450.95;21130.62;21461.81;21690.27;21916.32;;;
South Africa;420482.75;416031.24;434071.08;456334.13;472713.79;498312.89;480054.73;502130.26;;;;;;;;
South Korea;512819.94;522374.16;534839.28;546211.11;562450.96;561372.54;565697.2;575558.38;594982.2;594493.2;628838.72;650085.53;668989.65;;;
South Sudan;;;;;;;;;;;;;;;;
Spain;381031.15;377629.97;397417.36;407869.66;421107.43;437016.74;430218.33;439904.17;404869.43;372822.52;354618.02;353857.39;348257.29;;;
Sri Lanka;23282.57;22429.2;23464.89;24580.38;25393.93;27223.29;26000.04;27768.84;27955;27826.56;29131.29;29822.78;30451.83;;;
Sudan;529253.88;423305.6;516953.93;499185.49;485680.68;536024.45;453816.36;634374.73;572341.41;559206.07;487562.73;489798.21;491982.27;;;
